eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,23120008,2024110712494855264,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494855264,0,5915,20,20,0,0,50,36.729768,127.440160,103.901504,1,1,60,0,0xdfb193b5
1,31,23120008,2024110712494860296,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494860296,0,5915,20,20,0,0,50,36.729768,127.440160,103.901136,2,2,60,35,0x59b58445
1,31,23120008,2024110712494865345,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494865345,0,5915,20,20,0,0,50,36.729768,127.440160,103.901136,3,3,60,35,0xd5b0c07c
1,31,23120008,2024110712494870368,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494870368,0,5915,20,20,0,0,50,36.729768,127.440160,103.901088,4,4,60,35,0x258b837a
1,31,23120008,2024110712494875389,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494875389,0,5915,20,20,0,0,50,36.729768,127.440160,103.901432,5,5,60,35,0xadd671c4
1,31,23120008,2024110712494880412,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494880412,0,5915,20,20,0,0,50,36.729768,127.440160,103.902640,6,6,60,35,0xa775f255
1,31,23120008,2024110712494885427,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494885427,0,5915,20,20,0,0,50,36.729768,127.440160,103.904064,7,7,60,35,0x31961fb9
1,31,23120008,2024110712494890450,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494890450,0,5915,20,20,0,0,50,36.729768,127.440160,103.903976,8,8,60,35,0x1e80eea9
1,31,23120008,2024110712494895499,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494895499,0,5915,20,20,0,0,50,36.729768,127.440160,103.904088,9,9,60,35,0x9012e1aa
1,31,23120008,2024110712494900524,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494900524,0,5915,20,20,0,0,50,36.729768,127.440160,103.904464,10,10,60,35,0xf3d20efc
1,31,23120008,2024110712494905571,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494905571,0,5915,20,20,0,0,50,36.729768,127.440160,103.904128,11,11,60,35,0x497c275b
1,31,23120008,2024110712494910594,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494910594,0,5915,20,20,0,0,50,36.729768,127.440160,103.903832,12,12,0,35,0x3bcb138f
1,31,23120008,2024110712494915609,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494915609,0,5915,20,20,0,0,50,36.729768,127.440160,103.903160,13,13,0,35,0x96b9beac
1,31,23120008,2024110712494920620,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494920620,0,5915,20,20,0,0,50,36.729768,127.440160,103.903960,14,14,0,35,0x44875e01
1,31,23120008,2024110712494925630,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494925630,0,5915,20,20,0,0,50,36.729768,127.440160,103.903912,15,15,0,35,0xa3bc3020
1,31,23120008,2024110712494930640,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494930640,0,5915,20,20,0,0,50,36.729768,127.440160,103.904008,16,16,0,35,0x13a40c67
1,31,23120008,2024110712494935650,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494935650,0,5915,20,20,0,0,50,36.729768,127.440160,103.903208,17,17,0,35,0x4609289b
1,31,23120008,2024110712494940659,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494940659,0,5915,20,20,0,0,50,36.729768,127.440160,103.903392,18,18,0,35,0x4f536cea
1,31,23120008,2024110712494945669,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494945669,0,5915,20,20,0,0,50,36.729768,127.440160,103.902944,19,19,0,35,0x4e6fa00f
1,31,23120008,2024110712494950678,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494950678,0,5915,20,20,0,0,50,36.729768,127.440160,103.903416,20,20,0,35,0xa41cfe85
1,31,23120008,2024110712494955689,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494955689,0,5915,20,20,0,0,50,36.729768,127.440160,103.903448,21,21,0,35,0xf9894194
1,31,23120008,2024110712494960704,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494960704,0,5915,20,20,0,0,50,36.729768,127.440160,103.902096,22,22,0,35,0x4e21d19c
1,31,23120008,2024110712494965716,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494965716,0,5915,20,20,0,0,50,36.729768,127.440160,103.902264,23,23,0,35,0x6bf6cfa7
1,31,23120008,2024110712494970728,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494970728,0,5915,20,20,0,0,50,36.729768,127.440160,103.901568,24,24,0,35,0x2fed5b5d
1,31,23120008,2024110712494975738,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494975738,0,5915,20,20,0,0,50,36.729768,127.440160,103.901768,25,25,0,35,0x5bc195b7
1,31,23120008,2024110712494980745,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494980745,0,5915,20,20,0,0,50,36.729768,127.440160,103.902672,26,26,0,35,0x1e5c8913
1,31,23120008,2024110712494985757,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494985757,0,5915,20,20,0,0,50,36.729768,127.440160,103.903760,27,27,0,35,0x456685c2
1,31,23120008,2024110712494990768,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494990768,0,5915,20,20,0,0,50,36.729768,127.440160,103.902776,28,28,0,35,0x1281be37
1,31,23120008,2024110712494995779,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712494995779,0,5915,20,20,0,0,50,36.729768,127.440160,103.902208,29,29,0,35,0x127c39ad
1,31,23120008,2024110712495000792,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495000792,0,5915,20,20,0,0,50,36.729768,127.440160,103.902968,30,30,0,35,0xb6f20551
1,31,23120008,2024110712495005804,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495005804,0,5915,20,20,0,0,50,36.729768,127.440160,103.902848,31,31,0,35,0x756c2dd
1,31,23120008,2024110712495010815,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495010815,0,5915,20,20,0,0,50,36.729768,127.440160,103.901760,32,32,0,35,0xed71ae1a
1,31,23120008,2024110712495015826,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495015826,0,5915,20,20,0,0,50,36.729768,127.440160,103.901952,33,33,0,35,0xb8a7d027
1,31,23120008,2024110712495020837,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495020837,0,5915,20,20,0,0,50,36.729768,127.440160,103.901432,34,34,0,35,0x4c9bf706
1,31,23120008,2024110712495025849,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495025849,0,5915,20,20,0,0,50,36.729768,127.440160,103.901400,35,35,0,35,0x39cb0f96
1,31,23120008,2024110712495030861,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495030861,0,5915,20,20,0,0,50,36.729768,127.440160,103.901992,36,36,0,35,0x6cde4642
1,31,23120008,2024110712495035873,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495035873,0,5915,20,20,0,0,50,36.729768,127.440160,103.901328,37,37,0,35,0xa7a22e5b
1,31,23120008,2024110712495040885,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495040885,0,5915,20,20,0,0,50,36.729768,127.440160,103.900272,38,38,0,35,0x702105b4
1,31,23120008,2024110712495045897,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495045897,0,5915,20,20,0,0,50,36.729768,127.440160,103.899944,39,39,0,35,0x982eb5de
1,31,23120008,2024110712495050908,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495050908,0,5915,20,20,0,0,50,36.729768,127.440160,103.900712,40,40,0,35,0xe5ac3674
1,31,23120008,2024110712495055919,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495055919,0,5915,20,20,0,0,50,36.729768,127.440160,103.900456,41,41,0,35,0x7ed676f4
1,31,23120008,2024110712495060929,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495060929,0,5915,20,20,0,0,50,36.729768,127.440160,103.899128,42,42,0,35,0x489bfa31
1,31,23120008,2024110712495065939,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495065939,0,5915,20,20,0,0,50,36.729768,127.440160,103.898976,43,43,0,35,0x4f75aa42
1,31,23120008,2024110712495070949,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495070949,0,5915,20,20,0,0,50,36.729768,127.440160,103.898056,44,44,0,35,0x2bec8870
1,31,23120008,2024110712495075959,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495075959,0,5915,20,20,0,0,50,36.729768,127.440160,103.897456,45,45,0,35,0x73f97e03
1,31,23120008,2024110712495080968,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495080968,0,5915,20,20,0,0,50,36.729768,127.440160,103.897888,46,46,0,35,0xe8eff5a9
1,31,23120008,2024110712495085978,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495085978,0,5915,20,20,0,0,50,36.729768,127.440160,103.898360,47,47,0,35,0xfd5e5a76
1,31,23120008,2024110712495090987,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495090987,0,5915,20,20,0,0,50,36.729768,127.440160,103.897592,48,48,0,35,0xca8293f1
1,31,23120008,2024110712495095995,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495095995,0,5915,20,20,0,0,50,36.729768,127.440160,103.896792,49,49,0,35,0xa40cafc6
1,31,23120008,2024110712495101006,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495101006,0,5915,20,20,0,0,50,36.729768,127.440160,103.897856,50,50,0,35,0xf8ddb003
1,31,23120008,2024110712495106016,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495106016,0,5915,20,20,0,0,50,36.729768,127.440160,103.897816,51,51,0,35,0x8ba2757d
1,31,23120008,2024110712495111028,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495111028,0,5915,20,20,0,0,50,36.729768,127.440160,103.897184,52,52,0,35,0x48908219
1,31,23120008,2024110712495116042,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495116042,0,5915,20,20,0,0,50,36.729768,127.440160,103.896416,53,53,0,35,0xdac2a179
1,31,23120008,2024110712495121059,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495121059,0,5915,20,20,0,0,50,36.729768,127.440160,103.896944,54,54,0,35,0xe0450b4f
1,31,23120008,2024110712495126071,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495126071,0,5915,20,20,0,0,50,36.729768,127.440160,103.897160,55,55,0,35,0xc4c67825
1,31,23120008,2024110712495131083,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495131083,0,5915,20,20,0,0,50,36.729768,127.440160,103.897080,56,56,0,35,0x3910ff52
1,31,23120008,2024110712495136094,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495136094,0,5915,20,20,0,0,50,36.729768,127.440160,103.897072,57,57,0,35,0x40f55899
1,31,23120008,2024110712495141105,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495141105,0,5915,20,20,0,0,50,36.729768,127.440160,103.896544,58,58,0,35,0x4d686fea
1,31,23120008,2024110712495146115,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495146115,0,5915,20,20,0,0,50,36.729768,127.440160,103.895936,59,59,0,35,0x53b45af
1,31,23120008,2024110712495151125,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495151125,0,5915,20,20,0,0,50,36.729768,127.440160,103.896448,60,60,0,35,0x3187a65a
1,31,23120008,2024110712495156136,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495156136,0,5915,20,20,0,0,50,36.729768,127.440160,103.896352,61,61,0,35,0xa685056c
1,31,23120008,2024110712495161146,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495161146,0,5915,20,20,0,0,50,36.729768,127.440160,103.894832,62,62,0,35,0x746860b6
1,31,23120008,2024110712495166157,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495166157,0,5915,20,20,0,0,50,36.729768,127.440160,103.893736,63,63,0,35,0x4a897685
1,31,23120008,2024110712495171167,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495171167,0,5915,20,20,0,0,50,36.729768,127.440160,103.893832,64,64,0,35,0xf600c4bb
1,31,23120008,2024110712495176178,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495176178,0,5915,20,20,0,0,50,36.729768,127.440160,103.892928,65,65,0,35,0x67dde01a
1,31,23120008,2024110712495181188,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495181188,0,5915,20,20,0,0,50,36.729768,127.440160,103.892336,66,66,0,35,0x7998646
1,31,23120008,2024110712495186199,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495186199,0,5915,20,20,0,0,50,36.729768,127.440160,103.893840,67,67,0,35,0x4d6ae4a8
1,31,23120008,2024110712495191211,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495191211,0,5915,20,20,0,0,50,36.729768,127.440160,103.893304,68,68,0,35,0xb3098a7c
1,31,23120008,2024110712495196223,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495196223,0,5915,20,20,0,0,50,36.729768,127.440160,103.892176,69,69,0,35,0x7b148c4d
1,31,23120008,2024110712495201234,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495201234,0,5915,20,20,0,0,50,36.729768,127.440160,103.892824,70,70,0,35,0x180cc048
1,31,23120008,2024110712495206245,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495206245,0,5915,20,20,0,0,50,36.729768,127.440160,103.892696,71,71,0,35,0xb9df2f93
1,31,23120008,2024110712495211258,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495211258,0,5915,20,20,0,0,50,36.729768,127.440160,103.891840,72,72,0,35,0xc52ae1fd
1,31,23120008,2024110712495216271,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495216271,0,5915,20,20,0,0,50,36.729768,127.440160,103.890760,73,73,0,35,0xdb31eac9
1,31,23120008,2024110712495221283,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495221283,0,5915,20,20,0,0,50,36.729768,127.440160,103.890592,74,74,0,35,0x8e3eb8ce
1,31,23120008,2024110712495226295,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495226295,0,5915,20,20,0,0,50,36.729768,127.440160,103.890312,75,75,0,35,0xe60904bb
1,31,23120008,2024110712495231309,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495231309,0,5915,20,20,0,0,50,36.729768,127.440160,103.891296,76,76,0,36,0x144471f0
1,31,23120008,2024110712495236320,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495236320,0,5915,20,20,0,0,50,36.729768,127.440160,103.889760,77,77,0,36,0xf9553601
1,31,23120008,2024110712495241333,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495241333,0,5915,20,20,0,0,50,36.729768,127.440160,103.889064,78,78,0,36,0x11b3d4bc
1,31,23120008,2024110712495246345,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495246345,0,5915,20,20,0,0,50,36.729768,127.440160,103.889072,79,79,0,36,0xdb216eb7
1,31,23120008,2024110712495251358,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495251358,0,5915,20,20,0,0,50,36.729768,127.440160,103.888648,80,80,0,36,0xe30a5dd5
1,31,23120008,2024110712495256369,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495256369,0,5915,20,20,0,0,50,36.729768,127.440160,103.887984,81,81,0,36,0xdba7a466
1,31,23120008,2024110712495261383,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495261383,0,5915,20,20,0,0,50,36.729768,127.440160,103.889416,82,82,0,36,0xb9ac93c8
1,31,23120008,2024110712495266394,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495266394,0,5915,20,20,0,0,50,36.729768,127.440160,103.888480,83,83,0,36,0x439a9f6c
1,31,23120008,2024110712495271410,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495271410,0,5915,20,20,0,0,50,36.729768,127.440160,103.887912,84,84,0,36,0x7d6929df
1,31,23120008,2024110712495276429,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495276429,0,5915,20,20,0,0,50,36.729768,127.440160,103.887352,85,85,0,36,0x420477a9
1,31,23120008,2024110712495281440,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495281440,0,5915,20,20,0,0,50,36.729768,127.440160,103.887912,86,86,0,36,0x659844ec
1,31,23120008,2024110712495286452,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495286452,0,5915,20,20,0,0,50,36.729768,127.440160,103.886416,87,87,0,36,0x7a640a96
1,31,23120008,2024110712495291465,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495291465,0,5915,20,20,0,0,50,36.729768,127.440160,103.885248,88,88,0,36,0x1a7235c6
1,31,23120008,2024110712495296476,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495296476,0,5915,20,20,0,0,50,36.729768,127.440160,103.885688,89,89,0,36,0x52ab423
1,31,23120008,2024110712495301485,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495301485,0,5915,20,20,0,0,50,36.729768,127.440160,103.884824,90,90,0,36,0xc07163aa
1,31,23120008,2024110712495306496,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495306496,0,5915,20,20,0,0,50,36.729768,127.440160,103.883904,91,91,0,36,0xaff0b78f
1,31,23120008,2024110712495311507,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495311507,0,5915,20,20,0,0,50,36.729768,127.440160,103.884944,92,92,0,36,0xa17d461b
1,31,23120008,2024110712495316547,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495316547,0,5915,20,20,0,0,50,36.729768,127.440160,103.883800,93,93,0,36,0xa1d273ff
1,31,23120008,2024110712495321558,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495321558,0,5915,20,20,0,0,50,36.729768,127.440160,103.884120,94,94,0,36,0x97802526
1,31,23120008,2024110712495326567,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495326567,0,5915,20,20,0,0,50,36.729768,127.440160,103.883696,95,95,0,36,0xc7943a94
1,31,23120008,2024110712495331576,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495331576,0,5915,20,20,0,0,50,36.729768,127.440160,103.883280,96,96,0,36,0xccb961dd
1,31,23120008,2024110712495336589,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495336589,0,5915,20,20,0,0,50,36.729768,127.440160,103.882992,97,97,0,36,0xa6283b94
1,31,23120008,2024110712495341602,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495341602,0,5915,20,20,0,0,50,36.729768,127.440160,103.881456,98,98,0,36,0x1e7a5240
1,31,23120008,2024110712495346616,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495346616,0,5915,20,20,0,0,50,36.729768,127.440160,103.880472,99,99,0,36,0x2ea119fc
1,31,23120008,2024110712495351624,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495351624,0,5915,20,20,0,0,50,36.729768,127.440160,103.880728,100,100,0,36,0x2cd6da3e
1,31,23120008,2024110712495356635,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495356635,0,5915,20,20,0,0,50,36.729768,127.440160,103.880296,101,1,0,36,0xb3486709
1,31,23120008,2024110712495361647,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495361647,0,5915,20,20,0,0,50,36.729768,127.440160,103.879184,102,2,0,36,0xb66b7e78
1,31,23120008,2024110712495366659,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495366659,0,5915,20,20,0,0,50,36.729768,127.440160,103.877936,103,3,0,36,0x967b0b40
1,31,23120008,2024110712495371671,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495371671,0,5915,20,20,0,0,50,36.729768,127.440160,103.877632,104,4,0,36,0x385a9f18
1,31,23120008,2024110712495376683,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495376683,0,5915,20,20,0,0,50,36.729768,127.440160,103.876896,105,5,0,36,0xf982aac9
1,31,23120008,2024110712495381695,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495381695,0,5915,20,20,0,0,50,36.729768,127.440160,103.876152,106,6,0,36,0x97f0e19f
1,31,23120008,2024110712495386707,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495386707,0,5915,20,20,0,0,50,36.729768,127.440160,103.877360,107,7,0,36,0xb8616ac1
1,31,23120008,2024110712495391718,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495391718,0,5915,20,20,0,0,50,36.729768,127.440160,103.875392,108,8,0,36,0xdea35631
1,31,23120008,2024110712495396730,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495396730,0,5915,20,20,0,0,50,36.729768,127.440160,103.874176,109,9,0,36,0xf128f287
1,31,23120008,2024110712495401740,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495401740,0,5915,20,20,0,0,50,36.729768,127.440160,103.874360,110,10,0,36,0xea631d81
1,31,23120008,2024110712495406750,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495406750,0,5915,20,20,0,0,50,36.729768,127.440160,103.873928,111,11,0,36,0x36d26c4
1,31,23120008,2024110712495411763,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495411763,0,5915,20,20,0,0,50,36.729768,127.440160,103.873272,112,12,0,36,0x79f04f7
1,31,23120008,2024110712495416775,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495416775,0,5915,20,20,0,0,50,36.729768,127.440160,103.872160,113,13,0,36,0x3ba0cdc2
1,31,23120008,2024110712495421788,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495421788,0,5915,20,20,0,0,50,36.729768,127.440160,103.871208,114,14,0,36,0x8e4aaa51
1,31,23120008,2024110712495426800,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495426800,0,5915,20,20,0,0,50,36.729768,127.440160,103.870024,115,15,0,36,0x3ef91521
1,31,23120008,2024110712495431812,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495431812,0,5915,20,20,0,0,50,36.729768,127.440160,103.870328,116,16,0,36,0x13c2c4b2
1,31,23120008,2024110712495436824,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495436824,0,5915,20,20,0,0,50,36.729768,127.440160,103.868032,117,17,0,36,0xbf4d8ffd
1,31,23120008,2024110712495441835,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495441835,0,5915,20,20,0,0,50,36.729768,127.440160,103.866672,118,18,0,36,0xd7aab848
1,31,23120008,2024110712495446846,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024110712495446846,0,5915,20,20,0,0,50,36.729768,127.440160,103.866568,119,19,0,36,0xda591cd6
